product_id,predicted,actual,ingredients,reasoning
BI8,Processed,Ultra Processed,"wheat flour, sugar, chocolate chips (20% - sugar. Cocoa mass, vegetable fats, syrup, whey or whey derivatives, milk), raising agents (ammonium bicarbonate, sodium bicarbonate), salt, flavourings  ","No processing indicators found, defaulting to processed"
Y229,Minimally Processed,Processed,"water, full cream milk, skimmed milk, sugar, lemon food preparation, culture (thermophilus lactobacillus bulgaricus and streptococcus thermophilus)",Contains natural/minimally processed ingredients
MD304,Minimally Processed,Ultra Processed,"Water, malted barley,sucrose, sorghum, caramel,Hop extract, Vitamin A, B1, B2, B3, B5, B6 and C, magnesium, zinc",Contains natural/minimally processed ingredients
CO10,Processed,Processed Culinary Ingredients,100% pure coconut oil,"No processing indicators found, defaulting to processed"
Pa11,Processed,Minimally Processed,made from hard wheat,"No processing indicators found, defaulting to processed"
Br7,Minimally Processed,Ultra Processed,"Flour, water, sugar, milk, salt, improver, butter",Contains natural/minimally processed ingredients
MD306,Minimally Processed,Ultra Processed,"Carbonated water, sorghum, sugar, malted sorghum, caramel, Hops, foam stabilizer",Contains natural/minimally processed ingredients
PS11,Processed,Minimally Processed,sweet potato,"No processing indicators found, defaulting to processed"
PS8,Processed,Ultra Processed,"wheat, micronutrients (zinc, vitamin B3, iron, vitamin B1, Vitamin B6, Vitamin B2, Vitamin B9, Vitamin A, Vitamin B12)","No processing indicators found, defaulting to processed"
B299,Processed,Minimally Processed,"Astragalus root,isatis root,privet berry,wild yam rhizome,honeysuckle stem & flower,jasmine flower","No processing indicators found, defaulting to processed"
Pa2,Processed,Minimally Processed,"Durum wheat, semolina","No processing indicators found, defaulting to processed"
SD46,Minimally Processed,Ultra Processed,"Carbonated water, buffer salt, sodium bicarbonate",Contains natural/minimally processed ingredients
Y224,Minimally Processed,Ultra Processed,"water, sugar, skimmed milk powder, fat filled powder, stabilizer(s) (E1422), ",Contains natural/minimally processed ingredients
SG8,Processed,Ultra Processed,"Glucose syrup,  sugar, fekatine, dextrose, cirtic acid, fruit and plant concentrates (apple, aronia, beetroot, bilberry, blackcurrant, carrot, elderberry, grap, lemon, mango, orange, passion fruit, radish, safflower, spirulina, sweet potato, sunflower oil), flavouring agent: glazing agent, beeswap, caramelised sugar syrup: elderberry extract. ","No processing indicators found, defaulting to processed"
Pa9,Processed,Minimally Processed,Semolina from durum and hard wheat,"No processing indicators found, defaulting to processed"
HSC144,Processed,Minimally Processed,Udu bay leaves,"No processing indicators found, defaulting to processed"
